Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,Ratio,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,NBO,DWC,2021-08-06T00:00:00.000Z,1000,4,1000,,1,,77WER,J,J,20000,100,24432.77,92.613653,,KE,24432.77,92.613653,1232.88,1.634012
6600,DME,DWC,2018-08-24T00:00:00.000Z,169,0.78512,169,,1,,77WEN,J,J,21000,120,21000,120,,SA,31297.75,101.087485,11118.45,16.278144
6600,DME,DWC,2018-11-04T00:00:00.000Z,3140,12.281,3140,,13,,77WEN,J,J,21000,120,21000,120,,SA,36875.67,110.16994,15994.62,22.482754
6600,DME,DWC,2019-10-13T00:00:00.000Z,4583,22.4368,4583,,10,,77WEQ,J,J,20000,100,20000,100,,SA,41691.35,119.857365,19852.84,24.987066
6600,DME,DWC,2019-11-24T00:00:00.000Z,3887,21.07116,3887,,14,,77WEN,J,J,20000,100,20000,100,,SA,40737.12,118.072575,18637.36,23.457246
6600,DME,DWC,2019-12-17T00:00:00.000Z,2824,6.305537,2896,,13,,77WEN,J,J,20000,100,20000,100,,SA,29395.12,105.077725,6712.06,8.096168
6600,ADD,DWC,2019-10-31T00:00:00.000Z,3078,41.288,6733.55,,1,,77LJ,J,J,13000,60,3078,41.29,,EG,14825,64.790419,800,0.958084
6600,DWC,AKL,2020-09-22T00:00:00.000Z,21744.15,122.768943,25541.195,,38,,77WEP,J,H,20000,100,30000,130,,AE,17000,65,0,0
6600,DWC,AKL,2020-12-10T00:00:00.000Z,16704.63,141.621646,21739.778,,23,,77WEP,J,H,20000,100,30000,144,,AE,17000,65,0,0
6600,KWI,DWC,2020-08-29T00:00:00.000Z,2634,16.091525,3303,,3,,77WER,J,H,20000,100,30000,150,,JO,17000,65,0,0
6600,DWC,BAH,2021-04-29T00:00:00.000Z,64350.32,348.012811,76646.105,,93,,77XF,F,F,102500,550,102500,550,,AE,,,,
6600,DWC,AKL,2019-07-01T00:00:00.000Z,59519.47,387.982314,76553.67,,53,,,,,,,,,,,,,,
6600,HKG,AKL,2021-07-20T00:00:00.000Z,17152.1,100,22350,,3,,77XF,F,F,102500,550,102500,490,,SG,,,,
