CNTRY_MCY_ID,CNTRY_OWNER_CARR_CODE,CNTRY_CNTRY_CODE,CNTRY_COMMNTY_CODE,CNTRY_RGN_ID,CNTRY_INACTIVE,CNTRY_DTL_ID,CNTRY_CREATED_DATE,CNTRY_CREATED_BY,CNTRY_MODIFIED_DATE,CNTRY_MODIFIED_BY,CNTRY_ISO_CNTRY_CODE,CNTRY_GST_APPL_IND,CNTRY_TAX_ID_LENGTH,CNTRY_CMRCL_RGN,CTY_CCY_ID,CTY_OWNR_CARR_CODE,CTY_CTY_CODE,CTY_CTY_NAME,CTY_MTY_ID,CTY_CITY_TYP,CTY_OFFLN_CTY_IND,CTY_REPORTING_CITY,CTY_SALES_LEVEL,CTY_ADRS_ID
323,EK,NL,,71,N,1480748,2005-10-18T10:26:17.000,S140475,2006-04-20T12:23:20.000,SYS_TEMP,,,,EUR,24797,EK,SXM,ST MAARTEN,48,,N,,,
283,EK,GB,,71,N,1480684,2005-10-18T09:53:24.000,S140475,2006-04-20T12:08:53.000,SYS_TEMP,,,,EUR,27007,EK,XVW,WOLVERHAMPTON RR,48,,N,,,
283,EK,GB,,71,N,1480684,2005-10-18T09:53:24.000,S140475,2006-04-20T12:08:53.000,SYS_TEMP,,,,EUR,26396,EK,QQP,PADDINGTON STATION,48,,N,,,
292,EK,JP,,75,N,1480700,2005-10-18T09:54:39.000,S140475,2006-04-20T12:12:16.000,SYS_TEMP,,,,FEA,19704,EK,MMJ,"MATSUMOTO, JAPAN",48,,N,,,
292,EK,JP,,75,N,1480700,2005-10-18T09:54:39.000,S140475,2006-04-20T12:12:16.000,SYS_TEMP,,,,FEA,26614,EK,GAJ,"YAMAGATA, JAPAN",48,,N,,,
334,EK,SE,,71,N,1480800,2005-10-20T09:05:41.000,S140475,2006-04-20T12:33:28.000,SYS_TEMP,,,,EUR,21024,EK,NRK,NORRKOPING,48,,N,,,
290,EK,IT,,73,N,1480689,2005-10-18T09:54:39.000,S140475,2006-04-20T12:11:40.000,SYS_TEMP,,,,EUR,23130,EK,RMI,"RIMINI, ITALY",48,,N,,,
290,EK,IT,,73,N,1480689,2005-10-18T09:54:39.000,S140475,2006-04-20T12:11:40.000,SYS_TEMP,,,,EUR,27352,EK,CDF,"CORTINA D'AMPEZZO, ITALY",48,,N,,,
465,EK,RO,,73,N,1480790,,,2006-04-20T12:29:04.000,SYS_TEMP,,,,,14828,EK,DVA,"DEVA, ROMANIA",48,,N,,,
432,EK,MG,,70,N,1480706,,,2006-04-20T12:16:16.000,SYS_TEMP,,,,,26775,EK,WAM,"AMBATONDRAZAKA, MADAGASCA",48,,N,,,
314,EK,TH,,76,N,1480865,2005-10-18T10:01:07.000,S140475,2006-04-20T12:44:58.000,SYS_TEMP,,,,WSE,22751,EK,SGZ,"SINGORA, THAILAND",48,,N,,,
298,EK,LY,,70,N,1480704,2005-10-18T09:56:41.000,S140475,2006-04-20T12:14:45.000,SYS_TEMP,,,,,31020,EK,ZIS,Zintan,48,,N,,,
372,EK,CR,,68,N,18681992891,,,2018-07-22T11:46:51.100,BERNASCHINA2,CRI,N,,AMR,15988,EK,FMG,FLAMINGO,48,,N,,,
310,EK,RU,,73,N,1480790,2005-10-18T10:01:07.000,S140475,2006-04-20T12:29:04.000,SYS_TEMP,,,,EUR,19306,EK,NAL,"NALCHIK, RUSSIA",48,,N,,,
310,EK,RU,,73,N,1480790,2005-10-18T10:01:07.000,S140475,2006-04-20T12:29:04.000,SYS_TEMP,,,,EUR,22335,EK,PEX,"PECHORA, RUSSIA",48,,N,,,
393,EK,GA,,70,N,1480684,,,2006-04-20T12:08:53.000,SYS_TEMP,,,,,21494,EK,OYE,"OYEM, GABON",48,,N,,,
393,EK,GA,,70,N,1480684,,,2006-04-20T12:08:53.000,SYS_TEMP,,,,,18499,EK,GKO,"KONGOBOUMBA, GABON",48,,N,,,
457,EK,PF,,76,N,1480762,,,2006-04-20T12:26:54.000,SYS_TEMP,,,,,15757,EK,HOI,HAO IS. F. POLYNESIA S PA,48,,N,,,
284,EK,FR,,71,N,1480679,2005-10-18T09:53:24.000,S140475,2006-04-20T12:03:43.000,SYS_TEMP,,,,EUR,25034,EK,SNR,"ST. NAZAIRE, FRANCE",48,,N,,,
358,EK,BO,,68,N,18681952182,,,2018-07-22T11:42:25.191,BERNASCHINA2,BOL,N,,AMR,23581,EK,SJB,SAN JOAQUIN,48,,N,,,
366,EK,CD,,70,N,1480663,,,2006-04-20T11:56:21.000,SYS_TEMP,,,,,17686,EK,KAP,KAPANGA,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,21059,EK,FVE,NORTHERN AROOSTOOK REGION,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,23303,EK,ZRK,ROCKFORD,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,19727,EK,MWA,MARION-HERRIN,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,21404,EK,ODW,OAK HARBOR,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,24921,EK,IRS,"STUGIS, ST. JOSEPH CTY, M",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,25904,EK,VLO,"VALLEJO, CALIFORNIA",48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,22288,EK,TDF,Roxboro ,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,17525,EK,EKI,ELKHART,48,,N,,,
317,EK,US,,68,N,1480883,2005-10-18T10:01:07.000,S140475,2006-04-20T12:47:29.000,SYS_TEMP,,,,AMR,17162,EK,IYK,INYOKERN,48,,N,,,
