,Unnamed: 0,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,ORG_AIRPORT_CODE,ORG_AIRPORT_NAME,ORG_CNTRY_NAME,ORG_REGION_NAME,DST_AIRPORT_CODE,DST_AIRPORT_NAME,DST_CNTRY_NAME,DST_REGION_NAME,org_hday_flg,dst_hday_flg,EST_CHG_WT,SCH_DEP_DAY,SCH_DEP_MONTH,SCH_DEP_YEAR,Flight_No,ISO_CODE,org,dst,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,CHG_WT_BU_PREDICT
6903,6903,2019-05-22,24171.0,117.0,24477.0,20000.0,100.0,542000.0,1200.0,0.0,24579.49,106.877186,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,25092.59612912245,22,5,2019,1,9,13,5,18,3,5,
3730,3730,2018-08-01,10452.6,47.581974,11602.0,17000.0,90.0,17000.0,90.0,0.0,16947.89,82.847904,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17953.899862347196,1,8,2018,1,16,9,5,14,3,5,
1909,1909,2018-06-05,9731.0,47.082609,10091.0,21000.0,120.0,21000.0,120.0,0.0,22119.13,86.846826,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,22644.50249883685,5,6,2018,1,14,4,5,15,3,5,
5821,5821,2021-07-26,19560.0,67.84,19560.0,20000.0,100.0,25000.0,115.0,0.0,24676.63,66.797605,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,26141.410167294736,26,7,2021,1,16,9,5,18,3,5,
2660,2660,2020-04-01,1300.0,8.781663,1533.5,0.0,0.0,0.0,0.0,0.0,17000.0,65.0,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,21523.30733227015,1,4,2020,1,0,15,5,0,0,0,
656,656,2018-02-15,2016.0,12.015492,2016.0,20000.0,120.0,20235.23,88.267425,0.0,20235.23,88.267425,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,22927.49844939345,15,2,2018,1,2,6,16,16,3,5,
6875,6875,2018-06-13,12356.6,65.577582,14773.0,20000.0,120.0,20000.0,120.0,0.0,29391.31,109.087425,MUC,International,GERMANY,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,33352.0175164801,13,6,2018,1,6,12,5,16,3,5,
6239,6239,2021-05-14,88.1,0.515803,114.0,20000.0,100.0,20000.0,100.0,0.0,44191.49,120.443473,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",TRV,International,INDIA,WEST ASIA & INDIAN OCEAN,0,0,50071.104625516295,14,5,2021,1,2,6,16,16,3,5,
998,998,2018-07-13,4021.0,23.74321,4158.33,20000.0,120.0,20000.0,120.0,0.0,20084.47,84.866826,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",1,0,20561.51535357917,13,7,2018,1,14,4,5,16,3,5,
5911,5911,2020-03-08,14433.22,97.263047,18609.83,20000.0,100.0,42665.5,92.0,0.0,42665.5,122.835329,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,47898.518685326126,8,3,2020,1,2,6,10,18,3,5,
2834,2834,2020-08-12,4646.44,27.940009,5503.5,10000.0,60.0,10000.0,60.0,0.0,25501.43,118.682635,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,26567.21171762477,12,8,2020,1,2,6,4,14,3,5,
8204,8204,2019-07-05,9617.9,51.707971,11153.92,10000.0,90.0,12315.76,126.39,0.0,6315.76,76.391198,PHX,Metropolitan Area,UNITED STATES OF AMERICA,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,7996.237853932854,5,7,2019,1,17,15,5,15,3,5,
1237,1237,2021-06-10,5109.9,26.182159,5112.5,40000.0,220.0,40000.0,220.0,0.0,17000.0,65.0,MEX,Benito Juarez Intl,MEXICO,AMERICAS,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,17426.859792857485,10,6,2021,1,10,10,5,13,3,4,
8065,8065,2020-03-12,16055.89,78.773857,16105.73,10000.0,60.0,13037.09,68.108323,0.0,13037.09,68.108323,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,13581.9493342816,12,3,2020,1,2,6,4,14,3,5,
6308,6308,2021-06-01,5382.92,29.903735,5442.5,20000.0,100.0,20000.0,100.0,0.0,29618.43,95.568024,DME,Domodedovo,RUSSIAN FEDERATION,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,30321.92550731535,1,6,2021,1,14,4,5,16,3,5,
7405,7405,2020-12-28,6203.3,36.444309,7338.0,10000.0,60.0,17000.0,90.0,0.0,38831.31,124.985629,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,1,0,40454.187629584696,28,12,2020,1,2,6,4,14,3,5,
5091,5091,2019-11-11,17347.19,68.264014,19063.07,15000.0,60.0,28532.7,75.0,0.0,28532.7,89.763832,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",ICN,Incheon International,SOUTH KOREA,FAR EAST,0,0,32032.299260358013,11,11,2019,1,2,6,10,4,3,5,
2186,2186,2018-03-11,2508.0,10.558775,2755.0,21000.0,120.0,24501.01,98.345629,0.0,24501.01,98.345629,LIS,Airport,PORTUGAL,EUROPE,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,25955.36553909468,11,3,2018,1,16,9,5,18,3,5,
1134,1134,2019-06-09,7600.4,37.607639,7827.8,17000.0,90.0,15149.3,80.47485,0.0,15149.3,80.47485,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",BOM,Chhatrapati Shivaji,INDIA,WEST ASIA & INDIAN OCEAN,0,0,15782.43496438486,9,6,2019,1,2,6,4,14,3,5,
5004,5004,2019-11-03,33878.5,113.277187,34480.0,20000.0,100.0,45000.0,1200.0,0.0,34115.11,113.942515,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,1,34827.27579500578,3,11,2019,1,9,13,5,18,3,5,
1303,1303,2019-11-29,24936.0,101.6,25393.0,20000.0,100.0,562000.0,1200.0,0.0,28631.4,109.535329,NBO,Jomo Kenyatta Intl,KENYA,AFRICA,DWC,Al Maktoum Intl,UAE,"GCC, MIDDLE EAST & IRAN",0,0,29229.09127941045,29,11,2019,1,9,13,5,18,3,5,
