Flight_No,org,dst,SCH_DEP_DATE,BKD_WT_sum,BKD_VOL_sum,CHG_WT_BU_sum,count,OPN_SUFX,INHOUSE_AC_TYP,OPN_MODE,SVC_TYP,AC_CGO_WT_BU,AC_CGO_VOL_BU,CMRCL_CGO_WT_BU,CMRCL_CGO_VOL_BU,NOOP_CAN_IND,ISO_CODE,EST_CGO_PLOD_WT_BU,EST_CGO_PLOD_VOL_BU,EST_WT_BU,EST_VOL_BU
6600,MUC,DWC,2018-01-19T00:00:00.000Z,13343.1,42.174486,13565,10,,388L,J,J,15000,60,16000,60,,GB,39915.06,90.498204,21662.1,27.677246
6600,MUC,DWC,2019-02-10T00:00:00.000Z,8771.4,69.009161,12379.77,18,,388R,J,J,15000,60,15000,70,,GB,25538.53,83.72,5002,6
6600,LIS,DWC,2018-07-24T00:00:00.000Z,14635.2,50.045059,15032.2,9,,77WEJ,J,J,17000,90,17000,90,,TR,16971.62,86.757365,707.84,0.885269
6600,LIS,DWC,2019-06-17T00:00:00.000Z,6509.6,37.94,6509.6,6,,77WER,J,J,20000,100,20000,100,,TR,25584.45,98.077126,3139.68,3.95018
6600,LIS,DWC,2019-10-12T00:00:00.000Z,9936,52.44,11709.34,5,,77WER,J,J,20000,100,20000,100,,TR,21075.26,84.050299,531.6,0.788024
6600,LIS,DWC,2021-03-06T00:00:00.000Z,33739.3,111.33404,33841,21,,77WEJ,J,J,17000,90,50000,160,,TR,44059.15,114.290898,28180.1,41.797006
