Region,Month,From_date,to_date,Holiday,Country
Africa,Apr-19,07/04/2019,07/04/2019, Karume Day , Tanzania 
Africa,Apr-19,09/04/2019,09/04/2019, Martyr's Day , Tunisia 
Africa,Apr-19,18/04/2019,18/04/2019, Independence Day , Zimbabwe 
Africa,Apr-19,25/04/2019,25/04/2019, Liberation Day , Egypt 
Africa,Apr-19,26/04/2019,26/04/2019, Union Day , Tanzania 
Africa,Apr-19,27/04/2019,27/04/2019, Freedom Day  , South Africa 
Africa,Apr-19,29/04/2019,29/04/2019, Sham El Nassim , Egypt 
Americas,Apr-19,02/04/2019,02/04/2019, Malvinas Day , Argentina 
Americas,Apr-19,21/04/2019,21/04/2019, Tirandentes , Brazil 
Europe & Russia,Apr-19,01/04/2019,01/04/2019, National Day , Cyprus 
Europe & Russia,Apr-19,23/04/2019,23/04/2019, National Sovereignty Day , Turkey 
Europe & Russia,Apr-19,25/04/2019,25/04/2019, Freedom Day/Anni of Liberation ," Portugal,Italy "
Europe & Russia,Apr-19,27/04/2019,27/04/2019, King's birthday , Netherlands 
Far East & Australia,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj , Malaysia 
Far East & Australia,Apr-19,09/04/2019,09/04/2019, Day of Valour , Philippines 
Far East & Australia,Apr-19,25/04/2019,25/04/2019, Anzac Day , Australia & New Zealand 
Far East & Australia,Apr-19,30/04/2019,30/04/2019, Reunification Day , Vietnam 
MIddle East & GCC,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj , All GCC 
UAE ,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj , UAE 
West -  South East Asia & Iran,Apr-19,01/04/2019,01/04/2019, Islamic Republic Day , Iran 
West -  South East Asia & Iran,Apr-19,02/04/2019,02/04/2019, Sizdah bedar  , Iran 
West -  South East Asia & Iran,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj/Mabaath , Indonesia/Iran 
West -  South East Asia & Iran,Apr-19,06/04/2019,06/04/2019, Ugadi/Gudi Padwa , India 
West -  South East Asia & Iran,Apr-19,14/04/2019,14/04/2019, Sinhala New Year , Sri Lanka 
West -  South East Asia & Iran,Apr-19,14/04/2019,14/04/2019, Bengali/Indian New Year ," Bangladesh, India "
West -  South East Asia & Iran,Apr-19,15/04/2019,15/04/2019, Vishu , India (South) 
West -  South East Asia & Iran,Apr-19,17/04/2019,17/04/2019, Mahavir Jayanti , India 
Africa,May-19,01/05/2019,01/05/2019, Labour Day ," Algeria,Cote de I'voire, Egypt,Ethiopia, Ghana, Kenya, Mauritius, Nigeria, Seychelles, Senegal, Tunisia, Tanzania, Uganda, South Africa, Zambia, Zimbabwe "
Africa,May-19,05/05/2019,05/05/2019, Patriot's Victory day , Ethiopia 
Africa,May-19,25/05/2019,25/05/2019, African Unity Day ," Ghana, Zambia, Zimbabwe "
Africa,May-19,28/05/2019,28/05/2019, Downfall of the Derg , Ethiopia 
Africa,May-19,30/05/2019,30/05/2019, Ascension Day , Cote de Ivoire 
Africa,May-19,31/05/2019,31/05/2019, Laila tou kadir , Cote de Ivoire 
All Regions,May-19,05/05/2019,05/05/2019, Tentative start of Ramadan ,
Americas,May-19,01/05/2019,01/05/2019, Labour Day ," Ecuador, Panama, Argentina, Brazil, Chile "
Americas,May-19,20/05/2019,20/05/2019, Victoria Day , Canada 
Americas,May-19,21/05/2019,21/05/2019, Navy Day , Chile 
Americas,May-19,24/05/2019,24/05/2019, Anniv of the battle of Pichincha/National Day ," Ecuador, Argentina "
Americas,May-19,27/05/2019,27/05/2019, Memorial Day , USA 
Americas,May-19,30/05/2019,30/05/2019, Ascension Day ," Columbia,Venezuela "
