Region,Month,From_date,to_date,Holiday,Country
Africa,Apr-19,09/04/2019,09/04/2019, Martyr's Day ,TUNISIA
Africa,Apr-19,18/04/2019,18/04/2019, Independence Day ,ZIMBABWE
Africa,Apr-19,25/04/2019,25/04/2019, Liberation Day ,EGYPT
Africa,Apr-19,26/04/2019,26/04/2019, Union Day ,TANZANIA
Africa,Apr-19,27/04/2019,27/04/2019, Freedom Day  ,SOUTH AFRICA
Africa,Apr-19,29/04/2019,29/04/2019, Sham El Nassim ,EGYPT
Americas,Apr-19,02/04/2019,02/04/2019, Malvinas Day ,ARGENTINA
Americas,Apr-19,21/04/2019,21/04/2019, Tirandentes ,BRAZIL
Europe & Russia,Apr-19,01/04/2019,01/04/2019, National Day ,CYPRUS
Europe & Russia,Apr-19,23/04/2019,23/04/2019, National Sovereignty Day ,TURKEY
Africa,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Europe & Russia,Apr-19,27/04/2019,27/04/2019, King's birthday ,NETHERLANDS
Far East & Australia,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj ,MALAYSIA
Far East & Australia,Apr-19,09/04/2019,09/04/2019, Day of Valour ,PHILIPPINES
Americas,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Far East & Australia,Apr-19,30/04/2019,30/04/2019, Reunification Day ,VIETNAM
Americas,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
UAE ,Apr-19,03/04/2019,03/04/2019, Isra Al Mairaj ,UAE
West -  South East Asia & Iran,Apr-19,01/04/2019,01/04/2019, Islamic Republic Day ,IRAN
West -  South East Asia & Iran,Apr-19,02/04/2019,02/04/2019, Sizdah bedar  ,IRAN
Americas,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
West -  South East Asia & Iran,Apr-19,06/04/2019,06/04/2019, Ugadi/Gudi Padwa ,INDIA
West -  South East Asia & Iran,Apr-19,14/04/2019,14/04/2019, Sinhala New Year ,SRI LANKA
Americas,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Americas,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
West -  South East Asia & Iran,Apr-19,17/04/2019,17/04/2019, Mahavir Jayanti ,INDIA
Americas,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Africa,May-19,05/05/2019,05/05/2019, Patriot's Victory day ,ETHIOPIA
Americas,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Africa,May-19,28/05/2019,28/05/2019, Downfall of the Derg ,ETHIOPIA
Europe & Russia,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Europe & Russia,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
Europe & Russia,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
Europe & Russia,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Americas,May-19,20/05/2019,20/05/2019, Victoria Day ,CANADA
Americas,May-19,21/05/2019,21/05/2019, Navy Day ,CHILE
Europe & Russia,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
Americas,May-19,27/05/2019,27/05/2019, Memorial Day ,UNITED STATES OF AMERICA
Europe & Russia,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Europe & Russia,Oct-20,18-Oct-20,31-Oct-20,Autumn school break,ALL
Europe & Russia,May-19,01/05/2019,01/05/2019, Solidarity Day ,TURKEY
Europe & Russia,May-19,03/05/2019,03/05/2019, Constitution Day ,POLAND
Europe & Russia,May-19,04/05/2019,04/05/2019, National Remembrance Day ,NETHERLANDS
Europe & Russia,May-19,05/05/2019,05/05/2019, Liberation day ,NETHERLANDS
Europe & Russia,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Europe & Russia,May-19,08/05/2019,08/05/2019, V-E Day ,FRANCE
Europe & Russia,May-19,08/05/2019,08/05/2019, Liberation day ,CZECH REPUBLIC
Europe & Russia,May-19,09/05/2019,09/05/2019, Victory Day ,RUSSIAN FEDERATION
Europe & Russia,May-19,17/05/2019,17/05/2019, General Prayer Day ,DENMARK
Europe & Russia,May-19,17/05/2019,17/05/2019, Constitution Day ,NORWAY
Europe & Russia,May-19,19/05/2019,19/05/2019, Commemoration of Ataturk ,TURKEY
Far East & Australia,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Far East & Australia,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
Far East & Australia,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
Far East & Australia,May-19,03/05/2019,03/05/2019, Constitution Day ,JAPAN
Far East & Australia,May-19,04/05/2019,04/05/2019, Greenery Day ,JAPAN
Far East & Australia,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Far East & Australia,May-20,23-May-20,24-May-20,Eid al Fitr,ALL
Far East & Australia,May-19,12/05/2019,12/05/2019, Mother's Day ,AUSTRALIA
Far East & Australia,Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Far East & Australia,Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Far East & Australia,May-19,20/05/2019,20/05/2019, Day of Remembrance ,CAMBODIA
Far East & Australia,May-19,22/05/2019,22/05/2019, Royal Plowing Ceremony Day ,CAMBODIA
Far East & Australia,May-19,22/05/2019,22/05/2019, Nuzul Al Quran ,MALAYSIA
"Middle East, GCC & Iran",Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
"Middle East, GCC & Iran",Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
"Middle East, GCC & Iran",Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
West -  South East Asia & Iran,May-19,26/05/2019,26/05/2019, Martyrdom of Imam Ali ,IRAN
West -  South East Asia & Iran,May-19,29/05/2019,29/05/2019, Republic day ,NEPAL
West -  South East Asia & Iran,May-19,30/05/2019,30/05/2019, Ascension Day ,INDONESIA
Africa,Jun-19,01/06/2019,01/06/2019, Madraka Day ,KENYA
Africa,Jun-19,03/06/2019,03/06/2019, Martyr's Day ,UGANDA
"Middle East, GCC & Iran",Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Africa,Jun-19,05/06/2019,05/06/2019, Korite ,SENEGAL
"Middle East, GCC & Iran",May-20,23-May-20,24-May-20,Eid al Fitr,ALL
Africa,Jun-19,09/06/2019,09/06/2019, National Heroes Day ,UGANDA
Africa,Jun-19,12/06/2019,12/06/2019, Democracy Day ,NIGERIA
"Middle East, GCC & Iran",Jul-20,30-Jul-20,02-Aug-20,Eid al Adha,ALL
Africa,Jun-19,25/06/2019,25/06/2019, Independence day ,MOZAMBIQUE
"Middle East, GCC & Iran",Dec-20,25-Dec-20,25-Dec-20,Christmas,ALL
Africa,Jun-19,30/06/2019,30/06/2019, Revolution Day ,REPUBLIC OF THE SUDAN
Americas,Jun-19,17/06/2019,17/06/2019, Martin Miguel de Guemes Day ,ARGENTINA
UAE,Jan-20,01-Jan-20,01-Jan-20,New Year,ALL
Americas,Jun-19,20/06/2019,20/06/2019, National Flag Day ,ARGENTINA
Americas,Jun-19,29/06/2019,29/06/2019, St Peter & St Pauls Day ,CHILE
Europe & Russia,Jun-19,02/06/2019,02/06/2019, Republic day ,ITALY
Europe & Russia,Jun-19,03/06/2019,03/06/2019, Bank Holiday ,IRELAND
Europe & Russia,Jun-19,05/06/2019,05/06/2019, Constitution Day ,DENMARK
Europe & Russia,Jun-19,06/06/2019,06/06/2019, National Day ,SWEDEN
Europe & Russia,Jun-19,07/06/2019,07/06/2019, National Day ,MALTA
Europe & Russia,Jun-19,10/06/2019,10/06/2019, Portugal Day ,PORTUGAL
Europe & Russia,Jun-19,12/06/2019,12/06/2019, National Day ,RUSSIAN FEDERATION
Europe & Russia,Jun-19,13/06/2019,13/06/2019, Feast of St. Anthony ,PORTUGAL
UAE,Apr-20,10-Apr-20,12-Apr-20,Good Friday-Easter,ALL
UAE,Apr-20,17-Apr-20,19-Apr-20,Orthodox Good Friday & Coptic Easter,ALL
Europe & Russia,Jun-19,22/06/2019,22/06/2019, Anti Fascist struggle day ,CROATIA
UAE,Apr-20,23-Apr-20,22-May-20,Ramadan,ALL
Europe & Russia,Jun-19,25/06/2019,25/06/2019, State Holiday  ,CROATIA
